model,mean_test_score,test_accuracy,test_precision,test_recall,test_f1,best_params
knn_clf1,0.986842105263158,0.9854227405247812,0.9856256025338752,0.9854227405247812,0.9854465652272318,"{'metric': 'manhattan', 'n_neighbors': 46, 'weights': 'uniform'}"
knn_clf2,0.9846491228070176,0.9912536443148688,0.9912609612849836,0.9912536443148688,0.991248549035591,"{'leaf_size': 11, 'metric': 'manhattan', 'n_neighbors': 38, 'weights': 'distance'}"
NeuralNetwork,0.0,0.9416909620991254,0.9422031030194296,0.9416909620991254,0.9418158427715484,"{'optimizer': 'Adam', 'neurons': [512, 256, 128, 64], 'dropout_rate': [0.4, 0.3, 0.3, 0.2], 'epochs': 50, 'batch_size': 32}"
knn_clf1,0.97953216374269,0.9854227405247812,0.9856256025338752,0.9854227405247812,0.9854465652272318,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
knn_clf2,0.9853801169590644,0.9883381924198252,0.9883381924198252,0.9883381924198252,0.9883381924198252,"{'leaf_size': 25, 'metric': 'manhattan', 'n_neighbors': 35, 'weights': 'distance'}"
NeuralNetwork,0.0,0.9825072886297376,0.9826149726194008,0.9825072886297376,0.9825266771029312,"{'optimizer': 'Adam', 'neurons': [512, 256, 128, 64], 'dropout_rate': [0.4, 0.3, 0.3, 0.2], 'epochs': 50, 'batch_size': 32}"
knn_clf1,0.9817251461988304,0.9854227405247812,0.9854564908299704,0.9854227405247812,0.9854309564645312,"{'metric': 'manhattan', 'n_neighbors': 16, 'weights': 'distance'}"
knn_clf2,0.986111111111111,0.9941690962099126,0.9941690962099126,0.9941690962099126,0.9941690962099126,"{'leaf_size': 35, 'metric': 'manhattan', 'n_neighbors': 47, 'weights': 'distance'}"
NeuralNetwork,0.0,0.9708454810495628,0.9709781411737104,0.9708454810495628,0.970877795171552,"{'optimizer': 'Adam', 'neurons': [512, 256, 128, 64], 'dropout_rate': [0.4, 0.3, 0.3, 0.2], 'epochs': 50, 'batch_size': 32}"
knn_clf1,0.976608187134503,0.9883381924198251,0.9883805471529046,0.9883381924198251,0.9883243829269323,"{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'}"
knn_clf2,0.9817251461988304,0.9854227405247813,0.9854564908299704,0.9854227405247813,0.9854309564645312,"{'leaf_size': 18, 'metric': 'manhattan', 'n_neighbors': 33, 'weights': 'uniform'}"
